47,ለስራው ተገቢውን መሳሪያ ማዘጋጀትና መጠቀም የሚለው መርህ በየትኛው የስራ ላይ ደህንነት አጠባበቅ ደንብ ላይ ይገኛል?,ሀ. በማሽከርከር ወቅት አሽከርካሪው ሊከተው የሚገባ የስራ ላይ ደህንነት,ለ. በጥገና ወቅት አሽከርካሪው ሊከተለው የሚገባ የስራ ላይ ደህንነት,ሐ. ሀ ና ለ መልስ ነው,መ. መልሱ የለም,,ለ
48,በማሽከርከር ወቅት ሊያጋጥም የሚችል የትራፊክ አደጋ አይነት የሆነው የቱ ነው?,ሀ. የእግረኛ ግጭት,ለ. የተሸከርካሪ ለተሽከርካሪ ግጭት,ሐ. የአሽከርካሪ መገልበጥ,መ. ሁሉም መልሱ ናቸው,,መ
49,በማሽከርከር ወቅት ከሚያጋጥም አደጋ ውስጥ የማይካተተው የቱ ነው?,ሀ. መገልበጥ,ለ. የሠው ከተሽከርካሪ ላይ መውደቅ,ሐ. የእንስሳት ግጭት,መ. መልሱ የለም,,መ
50,የስራ ላይ ደህንነት አጠባበቅ መተግበር አደጋዎች እንዳይከሰቱ ያግዛሉ፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
51,የስራ ላይ ደህንነት አጠባበቅን ጠንቅቆ መረዳትና መተግበር ማለት,ሀ. የአሽከርካሪውን የተሟላ ችሎታ ያረጋግጣል,ለ. የአሽከርካሪውን የጥንቃቄ ደረጃ ያሳያል,ሐ. የአሽከርካሪውን ተነሳሽነት ያሳያል,መ. ሁሉም,,መ
52,አንድ አሽከርካሪ ስራውን በሚያከናውንበት ወቅት የተለያየ ጫናዎች ሊያጋጥሙት ይችላሉ,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
53,የእሳት አደጋ አንዱ አሽከርካሪውን ሊያጋጥም የሚችል የአደጋ አይነት ነው,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
54,ከሚከተሉት ውስጥ አንዱ አሽከርካሪ ሊያጋጥመው የሚችል የአደጋ አይነት አይደለም,ሀ. የተሸከርካሪ ብልሽት,ለ. የሌሎች መንገድ ተጠቃሚዎች ጋር የሚፈጠር ግጭት,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሀ
55,በተሽከርካሪ ውስጥ የAC ጥቅም በጣም አነስተኛ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
56,ከሚከተሉት አንዱ አደጋን ሊፈጥሩ የሚችሉ ሁኔታዎችን የሚቀንስ መንገድ ነው፡፡,ሀ. በቂ እረፍት ማድረግ,ለ. የፍጥነት ገደብን ተከትሎ ማሽከርከር,ሐ. ሕግና ደንብን ማክበር,መ. ሁሉም መልስ ነው,,መ
57,የእንቅልፍ ስሜት በተሰማን ጊዜ ቡና ጠጥቶ መነቃቃት ይቻላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
58,የተሽከርካሪውን የውስጥ ምቾት ማሻሻል ማለት,ሀ. አግባብነት ያለው የስራ ላይ ደህንነት አጠባበቅ ነው,ለ. አደጋን ሊፈጥሩ የሚችሉ ሁኔታዎችን መቀነስ ነው,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሀ
59,መሠረታዊ የህክምና እርዳታ አሠጣጥ እውቀትን ማዳበር የስራ ላይ ደህንነት አጠባበቅ አንዱ አካል ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
60,በስራ ላይ ደህንነት አጠባበቅ አደጋን ሊፈጥሩ የሚችሉ ሁኔታዎችን የመቀነስ እርምጃ ያልሆነው የቱ ነው?,ሀ. ንቁና ቀልጣፋ መሆን,ለ. ስለ መንገዱ ሁኔታ በቂ መረጃ አለ መያዝ,ሐ. በቂ ዝግጅት ማድረግ,መ. መልሱ የለም,,ለ
61,አደጋ ሊያስከትሉ የሚችሉ ነገሮችን ለይቶ ማወቅ የአንድ አሸከርካሪ ሙያዊ ግዴታ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
62,ደረቅ እና ፍሳሽ ቆሻሻን በማስወገድ ሒደት,ሀ. የማህበረሰብን ደህንነት መጠበቅ ይገባል,ለ. የአካባቢን ደህንነት መጠበቅ ይገባል,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
63,በተሽከርካሪ ውስጥ የሚገኝ የቆሸሸን የተሽከርካሪ ዘይት በማስወገድ ሒደት,ሀ. የሀላፊነት ስሜትን መላበስ ይገባል,ለ. ትክክለኛውን የተሽከርካሪውን የአምራች ማንዋል መጠቀም ይገባል,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
64,በቀላሉ አደጋ ሊያደርሱ ከሚችሉ ንጥረ ነገሮች መሀል የማይካተተው የቱ ነው?,ሀ. አሲድ,ለ. ሲሊንደር ጋዝ,ሐ. ሀናለ,መ. መልሱ የለም,,መ
65,ከሚከተሉት ውስጥ የትኛው የቃጠሎ አደጋ ሊያስነሳ ይችላል?,ሀ. አሲድ,ለ. ሲሊንደር ጋዝ,ሐ.ሀ ና ለ,መ. መልሱ የለም,,ሐ
66,ከሚከተሉት ውስጥ ከሚፈነዱ አደገኛ ነገሮች ውስጥ የሚመደው የትኛው ነው,ሀ. አርጉን ካርቦን ሞኖ ኦክሳይድ,ለ. ሚቴን,ሐ. ሰልፈር ዳይ ኦክሳይድ,መ. ሁሉም,,መ
67,ከሚከተሉት ውስጥ ከሚፈነዱ አደገኛ ነገሮች የማይመደበው የትኛው ነው?,ሀ. ኦክስጅን,ለ. ውሃ,ሐ. “ሀ” ና “ለ”,መ. መልሱ የለም,,ሐ
68,የባትሪ አሲድ ከአሲድ ነክ ነገሮች ይመደባል,ሀ. እውነት,ለ. ሐሰት,,,,ሀ
69,አደጋን የመገምገም ሒደት ያልሆነው የቱ ነው?,ሀ. የአደጋን አይነት መለየት,ለ. የጉዳት አይነት መለየት,ሐ. የጉዳት መጠንን ማወቅ,መ. መልሱ የለም,,መ
70,የአደጋን ብዛትና አይነት ማስቀመጥ የአደጋ ግምገማ አንዱ አካል ነው፡፡,ሀ. እውነት,ለ. ሐሰት,,,,ሀ
71,የመንገድ አደጋ ጉዳት አይነት ያልሆነው የቱ ነው?,ሀ. ሞት,ለ. አካል ጉዳተኝነት,ሐ. “ሀ” ና “ለ”,መ. መልሱ የለም,,መ
72,የጤና መታወክ ከመንገድ አደጋ ጉዳት አይነት ይመደባል፡፡,ሀ. እውነት,ለ. ሐሰት,,,,ለ
73,አንድ አሽከርካሪ የማሽከርከር ተግባር ከማከናወኑ በፊት ማሟላት ያለበት ተግባር የሆነው?,ሀ. የተሽከርካሪውን የቴክኒክ አቋም መገምገም,ለ. የራሱን አካላዊና አእምሮአዊ ዝግጅት ማረጋገጥ,ሐ. “ሀ” ና “ለ”,መ. መልሱ የለም,,ሐ
74,አንድ አሽከርካሪ ማክበር ያለበት መጠጥ ቢጠጣ እስካልሠከረ ድረስ ማሽከር ይችላል,ሀ. እውነት,ለ. ሐሰት,,,,ለ
75,የአንድ አሽከርካሪ ማክበር ያለበት የሥራ ላይ ደህንነት አጠባበቅ የሆነው የቱ ነው?,ሀ. የጉዞ እቅድ ማውጣት,ለ. ንቁና ቀልጣፍ መሆን,ሐ. “ሀ” ና “ለ”,መ. መልሱ የለም,,ሐ
76,ሊታለፉ የሚችሉ የጉዳት አይነቶች ውስጥ የማይካተተው የቱ ነው?,ሀ. ከባድ ቁስል,ለ. ከባድ ጉዳት,ሐ. ለረጅም ጊዜ የሚቆይ የጤና ችግር,መ. መልሱ የለም,,መ
77,የትራፊክ አደጋ ውጤት አይነት ያልሆነው የቱ ነው?,ሀ. የሞት አደጋ,ለ. የስኳር በሽታ,ሐ. የማህበራዊ ጉዳት,መ. መልሱ የለም,,ለ
78,የስራ ላይ ደህንነት አጠባበቅ ሪፖርት ሊደረግለት የሚገባ አካል የቱ ነው?,ሀ. ፖሊስ,ለ. ቀጣሪ ድርጅት,ሐ. የህክምና ማዕከላት,መ. ሁሉም,,ለ
79,የስራ ላይ ደህንነት አጠባበቅ ሪፖርት ከሚቀርብላቸው አካላት አንዱ የጤና ማዕከላት ናቸው፡፡,ሀ. እውነት,ለ. ሐሰት,,,,ለ
80,ግድ የለሽነት አንድ የሥራ ላይ ደህንነት አጠባበቅ ጉድለት ነው፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
81,በእጅ መዳፍ ላይና ባካባቢው ያለን የሰውነት ክፍል ከአደጋ የሚከላከል የቱ ነው?,ሀ. ካፖርት,ለ. ጓንት,ሐ. ጫማ,መ. ሁሉም,,ለ
82,ከዝናብ ከከፍተኛ ቅዝቃዜና ከቆሻሻ የሚከላከል የደህንነት መጠበቅያ መሣሪያ የቱ ነው?,ሀ. ካፖርት,ለ. ጓንት,ሐ. ጫማ,መ. ሁሉም,,ሀ
83,በሌሎች አሽከርካሪዎችና መንገድ ተጠቃሚዎች በቀላሉ ለመታየት የሚረዳ የቱ ነው?,ሀ. አንፀባራቂ ልብስ,ለ. ጓንት,ሐ. ካፖርት,መ. ሁሉም,,ሀ
84,ለስራ ምቹ ሁኔታን የሚፈጥር እና እግርን ከጉዳት የሚከላከል መሳሪያ የቱ ነው?,ሀ. ጓንት,ለ. የደህንነት ጫማ,ሐ. ሀናለ,መ. ሁሉም,,ለ
85,ካፖርት ጭንቅላትን ከአደጋ ይከለክላል፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ለ
86,ጓንት የመተንፈሻ ክፍሎችን ከአደጋ ይከላከላል፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ለ
87,የአይን አካባቢንና ፊትን ከአደጋ ለመከላከል የሚጠቅም መሳሪያ የቱ ነው?,ሀ. ሄልሜት,ለ. ጓንት,ሐ. ሀ ና ለ,መ. መልሱ የለም,,መ
88,የደህንነት መሣሪያ አይነት ያልሆነው የቱ ነው?,ሀ. ታኮ,ለ. ጓንት,ሐ. ካፖርት,መ. ሄልሜት,,ሀ
89,የግል ደህንነት መጠበቂያ መሣሪያ ያልሆነው የቱ ነው?,ሀ. የመገናኛ መሣሪያ,ለ. ጓንት,ሐ. ካፖርት,መ. ሄልሜት,,ሀ
90,ጉዳት ለደረሠበት ሰው ርዳታ ለመስጠት የሚያስፈልግ መሣሪያ የቱ ነው?,ሀ. የመጀመሪያ ርዳታ ሳጥን,ለ. ጭንቅላት መከላከያ,ሐ. ታኮ,መ. ሁሉም,,ሀ
91,ሁልጊዜ በግልፅ ቦታ ላይ ፊት ለፊት መቀመጥ ያለበትና የእሳት አደጋ ሲፈጠር የምንጠቀምበት መሣሪያ የሆነው የቱ ነው?,ሀ. ጓንት,ለ. እሳት ማጥፊያ,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ለ
92,ተሽከርካሪው በሚቆምበት ወቅት እንዳይንሸራተት የሚያደርግ መሣሪያ የቱ ነው?,ሀ. ታኮ,ለ. ሸራ,ሐ. ገመድ,መ. መልሱ የ,,ሀ
93,መርዛማ ጭስን የሚከላከል መሣሪያ የሆነው?,ሀ. ካፖርት,ለ. ጓንት,ሐ. ሄልሜት,መ. መልሱ የለም,,መ
94,የመገናኛ መሣሪያዎች ጥቅም የሆነው የቱ ነው?,ሀ. ከትራንስፖርት ድርጅቱ ጋር ቶሎ ለመገናኘት,ለ. ከፖሊስ ጋር ግንኘነት ለመፍጠር,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
95,በቅርብ ካለ የጤና ተቋም ወይም ሆስፒታል ጋር ለመገናኘት የመገናኛ መሣሪያ አሰፈላጊ ነው,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
96,በሚፈጠር የአደጋ አጋጣሚ ቅድሚያ የአሽከርካሪውን አገልግሎት የሚሹት የቱኞቹ ናቸው?,ሀ. አካል ጉዳተኛ,ለ. እግረኛ,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሀ
97,የማሽከርከር ተግባርና የመንገድ ሥነ-ስርአትን በተመለከተ ከፍተኛው ግንዛቤ ያለው በአሽከርካሪው ዘንድ ነው፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
98,አሽከርካሪው ለተጐጂዎች የሚያበርክተው የእርዳታ አይነት ያልሆነው የቱ ነው?,ሀ. ቁስለኛ አያያዝ,ለ. ቁስለኛ አጓጓዝ,ሐ. ሀናለ,መ. መልሱ የለም,,መ
99,የተጐጂውን ጉዳት መረዳትና ለተጨማሪ ስቃይ ሳይዳርጉ መያዝ ማለት,ሀ. ቁስለኛ አጓጓዝ,ለ. ቁስለኛ አያያዝ,ሐ. “ሀ” ና “ለ”,መ. መልሱ የለም,,ለ
100,ተጐጂውን ግለሠብ ወደ አቅራቢያ የህክምና ተቋም መውሠድ ማለት,ሀ. ቁስለኛ አጓጓዝ,ለ. ቁስለኛ አያያዝ,ሐ. ሀናለ,መ. መልሱ የለም,,ሀ
101,የስራ ላይ ደህንነት ጥንቃቄ መመሪያዎች ከአደጋ የነፃ የስራ አካባቢን ለመፍጠር የሚያግዙ የስራ ቅደም ተከተሎች ናቸው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
102,ጠጥቶ ማሸከርከር ምንን ያመለክታል?,ሀ. ትክክለኛ የማሽከርከር ሥነባህሪ,ለ. ትክክለኛ የስራ ላይ ደህንነት ጥንቃቄ አተገባበር,ሐ. አላስፈላጊ የማሽከርከር ስነ ባህሪ,መ. መልሱ የለም,,ሐ
103,ከጉዞ በፊት የተሸከርካሪውን ሁኔታ መፈተሽ የሚመደብው,ሀ. ለማሽከርከር ዝግጁነትን ያረጋግጣል,ለ. የስራ ላይ ደህንነት አተገባበርን ያሳያል,ሐ. አደጋ መከላከልን ያሳያል,መ. ሁሉም መልሱ ናቸው,,መ
104,አንድ አሸከርካሪ ተነሳሽነት ከጐደለው,ሀ. በተሣሣተ የማሽከርከር ባህሪ ላይ አለመሆኑን ያሳያል,ለ. የስራ ላይ ደህንነት አጠባበቁን ያለመስተካከል ያሳያል,ሐ. በቂ ዝግጅት አለ ማድረጉን ያሳያል,መ. “ለ” እና “ሐ” መልስ ናቸው,,መ
105,ችሎታን ያለ ማወቅ ማለት,ሀ. ደካማ የስራ ላይ ደህንነት አጠባበቅ ነው,ለ. ዝግጅነቱ የተጓደለ የማሽከርከር ባህሪ ነው,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
106,ጤንነትን ማረጋገጥ የስራ ላይ ደህንነት አጠባበቅ አንዱ መርህ ነው፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
107,በማሽከርከር ወቅት ድካም ከተሠማ እረፍት መውሰድ ይገባል፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
108,ለሰራ ተስማሚውን የአለባበስ አይነት መምረጥ ሊደርስ ከሚችለው አደጋ ይከላከላል,ሀ. እውነት,ለ. ሀሠት,,,,ሀ
109,የአካባቢ ብክለት የሚከሰተው በማሽከርከር ወቅት ብቻ ነው፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ለ
110,ማንኛውም አሽከርካሪ ካልሰከረ በቀር አልኮል ወስዶ ማሽከርከር ጉዳት የለውም,ሀ. እውነት,ለ. ሀሠት,,,,ለ
111,የተሽከርካሪ መገልበጥ,ሀ. የአደጋ አይነት ነው,ለ. የጉዳት አይነት አይደለም,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ለ
112,የአደጋ መንስኤ ሊሆን የሚችለው?,ሀ. ከፍጥነት ወሰን በላይ ማሸከርከር,ለ. በተከለከለ ቦታ ላይ ማቆም,ሐ. የትራፊክ ሕግና ደንብን መጣስን,መ. ሁሉም መልስ ናቸው,,መ
113,አደጋን መከላከል ማለት ምን ማለት ነው?,ሀ. የስራ ላይ ደህንነት አጠባበቅ አላማ ነው,ለ. የድንገተኛ ምላሽ አደጋ አላማ ነው,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
114,ከልክ በላይ በራስ መታማመን አግባብነት ያለው የስራ ላይ ደህንነት አመለካከት ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
115,አንድ አሽከርካሪ ጥገና ከማከናወኑ በፊት ማድረግ ያለበት?,ሀ. ትክክለኛውን አለባበስ መጠቀም አለበት,ለ. ትክክለኛውን መሣሪያ ማዘጋጀት አለበት,ሐ. ሀ ና ለ,መ. መልሱ የለም,,ሐ
116,የስራ ላይ ደህንነት አጠባበቅ ጠንቅቆ መረዳትና መተግበር ማለት ምን ማለት ነው?,ሀ. የተሟላ ችሎታን ይጠይቃል,ለ. የጥንቃቄ ደረጃን ያሳያል,ሐ. ተነሳሽነትን ያሳያል,መ. ሁሉም,,መ
117,አሽከርካሪ የተበላሸን የተሽከርካሪ ክፍል ለመጠገን ከመንቀሳቀሱ በፊት የችግሩን መንስኤ ማወቅ አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
118,አንድ አሽከርካሪ ጥገና ከመጀመሩ በፊት ሊከተሉ የሚችሉት ጫናዎች ማወቅ አለበት፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
119,የስራ ላይ ደህንነት አጠባበቅ የመጀመሪያ እርዳታ አሠጣጥ የሚጠቃለል ነው?,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
120,አንድ አሽከርካሪ የስራ ላይ ደህንነት አጠባበቅ እውቀት ባይኖረውም ብቃት ያለው አሽከርካሪ መባል ይችላል፡፡,ሀ. እውነት,ለ. ሀሠት,,,,ለ
121,የስራ ላይ ደህንነት አጠባበቅ አደጋን ሊፈጥሩ የሚችሉ ሁኔታዎችን የመቀነስ እርምጃ ያልሆነው የቱ ነው?,ሀ. ንቁና ቀልጣፋ መሆን,ለ. ስለ መደንገዱ ሁኔታ በቂ መረጃ መያዝ,ሐ. ሀ ና ለ,መ. መልሱ የለም,,መ
